,Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Health (Life Expectancy),Freedom
2,Denmark,Western Europe,3,7.527,1.32548,0.87464,0.64938
4,Canada,North America,5,7.427,1.32629,0.90563,0.63297
8,New Zealand,Australia and New Zealand,9,7.286,1.25018,0.90837,0.63938
9,Australia,Australia and New Zealand,10,7.284,1.33358,0.93156,0.65124
14,United States,North America,15,7.119,1.39451,0.86179,0.54604
17,Ireland,Western Europe,18,6.94,1.33596,0.89533,0.61777
32,Colombia,Latin America and Caribbean,33,6.477,0.91861,0.69077,0.53466
34,Saudi Arabia,Middle East and Northern Africa,35,6.411,1.39541,0.72025,0.31048
45,Japan,Eastern Asia,46,5.987,1.27074,0.99111,0.49615
52,Paraguay,Latin America and Caribbean,53,5.878,0.75985,0.66098,0.53899
58,Belarus,Central and Eastern Europe,59,5.813,1.03192,0.73608,0.37938
67,Algeria,Middle East and Northern Africa,68,5.605,0.93929,0.61766,0.28579
73,Indonesia,Southeastern Asia,74,5.399,0.82827,0.63793,0.46611
78,Bhutan,Southern Asia,79,5.253,0.77042,0.57407,0.53206
82,Montenegro,Central and Eastern Europe,82,5.192,0.97438,0.72521,0.1826
83,China,Eastern Asia,84,5.14,0.89012,0.81658,0.51697
98,Laos,Southeastern Asia,99,4.876,0.59066,0.54909,0.59591
149,Guinea,Sub-Saharan Africa,150,3.656,0.17417,0.24009,0.37725
157,Togo,Sub-Saharan Africa,158,2.839,0.20868,0.28443,0.36453
