,Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Health (Life Expectancy),Freedom
1,Denmark,2,7.52199983596802,1.48238301277161,0.792565524578094,0.626006722450256
6,Canada,7,7.31599998474121,1.47920441627502,0.83455765247345,0.611100912094116
7,New Zealand,8,7.31400012969971,1.40570604801178,0.816759705543518,0.614062130451202
9,Australia,10,7.28399991989136,1.484414935112,0.84388679265976,0.601607382297516
13,United States,14,6.99300003051758,1.54625928401947,0.77428662776947,0.505740523338318
14,Ireland,15,6.97700023651123,1.53570663928986,0.80978262424469,0.573110342025757
35,Colombia,36,6.35699987411499,1.07062232494354,0.595027923583984,0.477487415075302
36,Saudi Arabia,37,6.3439998626709,1.53062355518341,0.590148329734802,0.449750572443008
50,Japan,51,5.92000007629395,1.41691517829895,0.913475871086121,0.505625545978546
52,Algeria,53,5.87200021743774,1.09186446666718,0.617584645748138,0.233335807919502
66,Belarus,67,5.56899976730347,1.15655755996704,0.637714266777039,0.295400261878967
69,Paraguay,70,5.49300003051758,0.932537317276001,0.579250693321228,0.473507791757584
78,China,79,5.27299976348877,1.08116579055786,0.741415500640869,0.472787708044052
80,Indonesia,81,5.26200008392334,0.995538592338562,0.492345720529556,0.443323463201523
82,Montenegro,83,5.23699998855591,1.12112903594971,0.667464673519135,0.194989055395126
96,Bhutan,97,5.01100015640259,0.885416388511658,0.495879292488098,0.501537680625916
148,Guinea,149,3.50699996948242,0.244549930095673,0.194129139184952,0.348587512969971
149,Togo,150,3.49499988555908,0.305444717407227,0.247105568647385,0.38042613863945
