,Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Health (Life Expectancy),Freedom,Start of the Year: Covid Deaths,End of the Year: Covid Deaths
1,Denmark,2,7.62,1.502,0.763,0.686,1322,3282
8,New Zealand,9,7.277,1.4,0.785,0.665,26,48
10,Australia,11,7.183,1.453,0.801,0.647,909,2253
13,Canada,14,7.103,1.447,0.798,0.648,15819,30320
14,Ireland,15,7.085,1.644,0.753,0.606,2248,5912
17,United States,19,6.951,1.533,0.621,0.554,352844,825468
23,Saudi Arabia,26,6.494,1.435,0.571,0.603,6230,8877
49,Colombia,52,6.012,1.021,0.615,0.554,43495,129942
53,Japan,56,5.94,1.389,0.838,0.504,3541,18392
67,Paraguay,71,5.653,0.983,0.549,0.602,2262,16624
68,Montenegro,72,5.581,1.155,0.637,0.397,684,2411
70,Belarus,75,5.534,1.124,0.56,0.326,1433,5578
76,Indonesia,82,5.345,0.954,0.433,0.598,22329,144094
78,China,84,5.339,1.061,0.665,0.636,4884,5103
92,Laos,100,5.03,0.808,0.33,0.643,0,372
94,Guinea,102,4.984,0.42,0.206,0.384,81,391
101,Algeria,109,4.887,0.946,0.552,0.119,2762,6276
125,Togo,136,4.107,0.254,0.203,0.289,68,248
